method,selected_views,certified_coverage,forward_overlap_ratio,lateral_overlap_ratio,weakest_structure_part_coverage,average_quality,average_photo_score,total_photos,path_length_m,smooth_path_length_m
Maskable PPO best-of-N path baseline,48,0.9877777695655823,0.8920437029142808,0.7243717607331053,0.9783037475345168,0.8235340118408203,0.7678820549644758,344,1183.8630292546454,1183.8630292546454
Maskable PPO best-of-N + hierarchical path agent,48,0.9877777695655823,0.8920437029142808,0.7243717607331053,0.9783037475345168,0.8235340118408203,0.7678820549644758,344,1179.0218134168833,1179.0218134168833
