sequence,x,y,z
1,-22.59918772992455,-21.311483098869207,6.0
2,-28.193352809760615,-18.869801032891562,5.9083322734726185
3,-27.78093346227137,-18.768373753642766,5.816664546945237
4,-27.412285738410333,-18.494234438385217,5.7249968204178545
5,-27.14169412663788,-18.065459282745344,5.633329093890473
6,-27.01687951945315,-17.51514858602394,5.5416613673630915
7,-27.075148489552838,-16.88927637900997,5.44999364083571
8,-27.3401956602983,-16.243606043912834,5.358325914308328
9,-27.819775790933384,-15.63985930623259,5.266658187780946
10,-28.504410761015368,-15.141374229249855,5.174990461253564
11,-29.367234877538593,-14.808522466278761,5.083322734726183
12,-30.365013347439298,-14.694174909407888,4.991655008198801
13,-31.440297273249943,-14.839506781015345,4.89998728167142
14,-32.52460825096647,-15.270417864101299,4.808319555144038
15,-33.54248065406608,-15.994811653073567,4.716651828616657
16,-34.41613379326706,-17.000930365794588,4.624984102089274
17,-13.964322420816238,-0.7322761345573987,4.533316375561893
18,-5.644167307896765,10.297111698626711,18.709356126484835
19,1.190514413952,51.36629998737414,22.85763011891493
20,14.02062580322687,55.04259334656176,13.373918102212762
21,16.455008901148567,49.06765905620142,12.40048294369276
22,16.455008901148567,49.06765905620142,9.480177468132744
23,16.455008901148567,49.06765905620142,6.559871992572728
24,25.854862122297455,55.11822649548465,12.2523659456252
25,23.57439523583409,59.89604596248185,9.480177468132744
26,23.57439523583409,59.89604596248185,4.80768870723672
27,35.07567114677869,59.96955114611368,4.80768870723672
28,54.477542348320085,56.628226794050306,12.66933162387977
29,63.40464255701613,60.150602906086554,6.764670878876835
30,63.595494692291695,63.74611817772728,16.54214888829098
31,64.01588889288789,62.02691442321338,19.838172646531195
32,64.87335880890643,56.628226794050306,25.82239697378068
33,55.951389807825166,57.8263008353057,29.036448558645645
34,53.233222521589354,69.21535867074572,21.590355931867204
35,35.07567114677869,59.96955114611368,14.152666229028767
36,35.439258714751276,55.17948081517783,16.14610657970522
37,35.439258714751276,55.17948081517783,20.03984721378524
38,36.64786027843462,56.628226794050306,24.888141028370253
39,28.291606421236402,57.8263008353057,29.806589538966094
40,14.513754946799398,61.42052295907187,22.543651651573118
41,-16.59918772992455,78.21366917599771,20.30566823154838
42,20.94238034976159,86.54549779487618,50.36725870134164
43,27.275312027914453,103.22344488442602,56.3576289076186
44,44.03349932405756,101.6914595145742,62.347999113895554
45,39.47467011659182,131.73441246696345,26.01222078700173
46,53.86378378658682,131.82450420237083,18.536446480407637
47,62.25013769174336,131.87701311244186,18.53644648040764
48,53.86378378658682,131.82450420237083,4.010570705621681
49,70.83777449229062,131.93077005809323,2.560964672118443
50,86.2208046762881,132.02729626370788,10.57764229414444
51,97.64481174456938,107.12809184993333,50.36725870134164
52,124.6590116051484,101.96622203241063,19.955916073580248
53,118.78040050658947,80.69456474559128,2.1071576067588826
54,128.3730599628167,74.36242671629286,5.403893124432656
55,128.40055683326685,55.311026027102415,20.77550893317683
56,129.62174869201831,42.17453920405953,2.7232022765293715
57,118.8360074233803,43.91247450417874,13.512571045783854
58,124.82061592594299,35.42527505182378,20.66280449885315
59,101.29765829409268,-11.403125432685432,23.22361606401665
60,51.475246844174166,-15.311483098869207,31.089448552692932
61,44.72589487513062,-5.769306306145456,16.29526951815866
62,24.043635730556073,1.222601846982478,56.3576289076186
63,76.54404552964267,44.55678740155361,56.3576289076186
64,85.68165383748975,29.621799823985917,56.028382937220954
65,88.20065528586619,24.062022314512042,52.901609003644644
66,87.82646127579198,24.262910477388434,49.774835070068335
67,87.36910229886655,24.30622646408524,46.648061136492025
68,86.88099650714636,24.169037942171723,43.521287202915715
69,86.41974994387876,23.84396540108819,40.394513269339406
70,86.04385680633251,23.340164208617736,37.267739335763096
71,85.80825916967095,22.683175671469552,34.14096540218679
72,85.7600525291282,21.913641172719117,31.014191468610477
73,85.93461763599673,21.084943738369514,27.887417535034167
74,86.35243642778775,20.259908460703553,24.760643601457858
75,87.0168115712374,19.506753159636112,21.633869667881548
76,87.91265732920479,18.894529955286984,18.50709573430524
77,89.00646699259093,18.488334093410025,15.380321800728929
78,90.24749247862965,18.344576194511387,12.25354786715262
79,91.5700988187827,18.50661674718286,9.12677393357631
80,-22.59918772992455,-21.311483098869207,6.0
